statement,class
"This CREDIT AGREEMENT is entered into as of November 23, 2010, among Dkin’ Finance Corp., a Delaware corporation (Borrower) and, upon the effectiveness of its joinder to this Agreement, DKN Brands Holdings, Inc., a Delaware corporation and, upon the Assumption, DKN Brands, Inc., a Delaware corporation, each lender from time to time party hereto, and Clays Bank PLC, as Administrative Agent, Swingline Lender and L/C Issuer.",preamble
"This agreement is dated 22 December 2014 and made between Parties XYZ Gold Mining Company Limited, The Subsidiaries of the Borrower listed in Part I of Schedule 1 as original guarantors, Absa Bank Limited and Nedbank Limited as coordinators, The Financial Institutions listed in Part II of Schedule 1 as mandated lead arrangers and lenders and Nedbank Limited as agent of the other Finance Parties",preamble
This Agreement and shall be governed by and interpreted in accordance with the laws of the State of New York,governing law
The choice of South African law as the governing law of the Finance Documents expressed to be governed by South African law will be recognised and enforced in its jurisdiction of incorporation,governing law
This agreement and other loan documents shall be governed by and in adherence with the law of the United Kingdom.,governing law
"Eligible receivables are not subject to any limitation on assignment or other restriction which would, under the local governing law of the contract creating such receivable, have the effect of restricting the assignment for or by way of security or the creation of security over such receivable generally;",other
“Acceptance Condition” means the condition with respect to the number of acceptances to the Offer which must be secured to declare the Offer unconditional as to acceptances which shall not be less than 90% of the Target Shares to which the Offer relates.,other
Borrowers will indemnify each Lender against any and all loss or expense which it may sustain or incur,Indemnification
"The Borrower shall indemnify all parties, and each Related Party of any of the foregoing Persons (each such Person being called an “Indemnitee”) against, and hold each Indemnitee harmless from, any and all losses, claims, damages, liabilities and related expenses",Indemnification
Administrative Agent shall be entitled to reimbursement of its reasonable out-of-pocket expenses incurred hereunder and indemnity for its actions,Indemnification
Syndication Agent shall be entitled to reimbursement of its reasonable expenses incurred on legal charges and indemnity for its actions,Indemnification
"Defaulting Lender’s right to approve or disapprove any amendment, waiver or consent with respect to this Agreement shall be restricted as set forth in the definition of “Required Lenders”",Lender Defaulting
"Lender during the defaulting Period with respect to such Defaulting Lender, such Defaulting Lender shall be deemed not to be a “Lender” for purposes of voting on any matters",Lender Defaulting
"This TERM LOAN AGREEMENT, dated as of April 24, 2020, is by and among Pepo Holdings, Inc. (“Borrower”), the Lenders (defined herein), JPC Bank, N.A., as administrative agent, and The Bank of Scotia, as documentation agent.",preamble
"“Applicable Rate” means, the following percentages per annum, based upon the Consolidated Leverage Ratio as set forth in the most recent Compliance Certificate received by the Administrative Agent",other
"This Agreement shall be governed by the laws of the State of New York. If any term of this Agreement or the application thereof to any person or circumstances shall to any extent be invalid or unenforceable, the remainder of this Agreement or the application of such terms to any person or circumstances other than those as to which it is invalid or unenforceable shall not be affected thereby, and each term of this Agreement shall be valid and enforceable to the fullest extent permitted by law.",governing law
"The Lenders agree to indemnify the Administrative Agent and the Collateral Agent, each in its capacity as such (to the extent not reimbursed by the Borrowers and without limiting the obligation of the Borrowers to do so), ratably according to their respective portions of the total Term Loans and Incremental Revolving Facility Commitments.",Indemnification
"This CREDIT AGREEMENT is entered into as of December 11, 2016 among TD TECHNOLOGIES INCORPORATED, a Delaware corporation (the “Borrower”), the Guarantors (defined herein), the Lenders (defined herein) and BANK OF RIC0, N.A., as Administrative Agent.",preamble
"THIS AGREEMENT AND THE OTHER LOAN DOCUMENTS AND ANY CLAIMS, CONTROVERSY, DISPUTE OR CAUSE OF ACTION BASED UPON, ARISING OUT OF OR RELATING TO THIS AGREEMENT OR ANY OTHER LOAN DOCUMENT AND THE TRANSACTIONS CONTEMPLATED HEREBY AND THEREBY SHALL BE GOVERNED BY, AND CONSTRUED IN ACCORDANCE WITH, THE LAW OF INDIA.",governing law
"The Loan Parties shall indemnify the Administrative Agent against, and hold each Indemnitee harmless from, any and all losses, claims, damages, liabilities and related expenses",Indemnification
"This CREDIT AGREEMENT is made and entered into as of March 6, 2018, by and among XYZ Corp, a Wisconsin corporation as Borrower and SSB BANK USA, in its capacity as collateral agent and BSB BANK PLC, in its capacity as administrative agent for and on behalf of the Lenders",preamble
"Any Lender defaulting, as reasonably determined by the Administrative Agent and the Borrower, has failed to fund any portion of its Revolving Loans or participations in Letters of Credit or Swingline Loans within three Business Days of the date are subject to legal proceedings",Lender Defaulting
Lender shall be deemed to be a Defaulting Lender as of the date established therefore by the Administrative Agent is subject to debtor relief law terms,Lender Defaulting
"Defaulting Lender’s right to approve or disapprove any amendment, waiver or consent with respect to this Agreement shall be restricted as set forth in the definition of “Required Lenders”",Lender Defaulting
"“Disinterested Director” shall mean, with respect to any person and transaction, a member of the Board of Directors of such person who does not have any material direct or indirect financial interest in or with respect to such transaction.",other
"The Borrower and certain lenders and agents are parties to the Credit Agreement, dated as of May 18, 2012 (as amended and restated as of July 14, 2015 and as amended, supplemented or otherwise modified prior to the Effective Date, the “Existing Credit Agreement”)",other
